mktime,co2,temp,humidity

 sensirion,sensor_id=310BA co2=1694.880371,temp=27.432671,humidity=57.409668 946684801
 sensirion,sensor_id=310BA co2=1686.911133,temp=27.419319,humidity=56.201172 946684806
 sensirion,sensor_id=310BA co2=1689.017090,temp=27.491417,humidity=55.963135 946684812
 sensirion,sensor_id=310BA co2=1670.051758,temp=27.518120,humidity=55.355835 946684817
 sensirion,sensor_id=310BA co2=1671.604004,temp=27.504768,humidity=54.678345 946684822
 sensirion,sensor_id=310BA co2=1689.755859,temp=27.531471,humidity=55.189514 946684827
 sensirion,sensor_id=310BA co2=1699.348145,temp=27.475395,humidity=55.056763 946684832
 sensirion,sensor_id=310BA co2=1702.220703,temp=27.518120,humidity=54.759216 946684837
 1698184395, 1050.011230, 27.133591, 47.164917
 1698184416, 1047.943359, 27.149612, 47.082520
 1698184436, 1041.398438, 27.208359, 47.074890
 1698184457, 1043.777344, 27.133591, 47.128296
 1698184477, 1040.551270, 27.106888, 47.160339
 1698184498, 1040.189941, 27.093536, 47.123718
 1698184518, 1040.830078, 27.106888, 47.015381
 1698184539, 1037.901855, 27.093536, 46.928406
 1698184559, 1034.076660, 27.077515, 47.120667
 1698184580, 1022.971436, 27.093536, 46.940613
 1698184600, 1026.456543, 27.050812, 46.946716
 1698184622, 1023.491455, 27.050812, 46.932983
 1698184642, 1023.941650, 27.050812, 46.873474
 1698184662, 1023.031738, 26.965363, 46.997070
 1698184683, 1018.860840, 26.994736, 47.001648
 1698184703, 1020.432617, 26.935989, 47.018433
 1698184724, 1019.533936, 26.952011, 46.945190
 1698184744, 1020.309082, 26.978714, 46.900940
 1698184765, 1017.877441, 26.978714, 46.853638
 1698184785, 1015.229492, 27.008087, 46.745300
 1698184806, 1013.330811, 26.952011, 46.859741
 1698184826, 1011.522461, 27.021439, 46.676636
 1698184847, 1014.858887, 26.952011, 46.667480
 1698184867, 1009.329346, 26.994736, 46.635437
 1698184888, 1004.403320, 26.935989, 46.603394
 1698184908, 1003.261475, 26.922638, 46.697998
 1698184929, 1002.998291, 26.922638, 46.734619
 1698184950, 1002.862305, 26.909286, 46.514893
 1698184970, 1001.916504, 26.978714, 46.475220
 1698184990, 999.396973, 27.008087, 46.333313
 1698185011, 997.929688, 27.021439, 46.372986
 1698185031, 993.386963, 27.050812, 46.166992
 1698185052, 991.644531, 27.050812, 46.022034
 1698185072, 991.573730, 27.106888, 46.003723
 1698185093, 979.086670, 27.120239, 45.970154
 1698185113, 977.367188, 27.077515, 45.928955
 1698185134, 973.677734, 27.192337, 45.736694
 1698185154, 972.605713, 27.176315, 45.686340
 1698185175, 973.173096, 27.208359, 45.651245
 1698185195, 976.479736, 27.192337, 45.614624
 1698185216, 978.197510, 27.221710, 45.555115
 1698185236, 975.914063, 27.162964, 45.610046
 1698185257, 977.463379, 27.221710, 45.495605
 1698185277, 975.494385, 27.235062, 45.458984
 1698185298, 976.149170, 27.176315, 45.466614
 1698185318, 971.831543, 27.162964, 45.413208
 1698185339, 966.644775, 27.221710, 45.361328
 1698185359, 964.113770, 27.208359, 45.298767
 1698185380, 959.479248, 27.176315, 45.307922
 1698185400, 957.001465, 27.106888, 45.407104
 1698185421, 956.580811, 27.133591, 45.326233
 1698185442, 954.455322, 27.162964, 45.233154
 1698185462, 954.388184, 27.162964, 45.123291
 1698185482, 953.874512, 27.162964, 45.220947
 1698185503, 952.614502, 27.093536, 45.321655
 1698185524, 952.237305, 27.034790, 45.448303
 1698185544, 945.030762, 27.008087, 45.578003
 1698185565, 941.283691, 26.978714, 45.429993
 1698185586, 943.302246, 27.034790, 45.362854
 1698185607, 939.550293, 26.994736, 45.358276
 1698185627, 937.619629, 27.021439, 45.265198
 1698185648, 938.041016, 27.034790, 45.230103
 1698185668, 938.347900, 26.952011, 45.280457
 1698185689, 937.131348, 27.008087, 45.248413
 1698185710, 935.837891, 26.994736, 45.138550
 1698185730, 932.472168, 26.909286, 45.384216
 1698185751, 929.935791, 26.895935, 45.274353
 1698185772, 925.823242, 26.922638, 45.202637
 1698185792, 925.109375, 26.935989, 45.278931
 1698185813, 926.346436, 26.879913, 45.257568
 1698185834, 924.857666, 26.879913, 45.307922
 1698185854, 925.709229, 26.837189, 45.339966
 1698185875, 923.383057, 26.781113, 45.367432
 1698185895, 922.148438, 26.797134, 45.307922
 1698185916, 920.125000, 26.767761, 45.379639
 1698185937, 917.147217, 26.810486, 45.214844
 1698185957, 912.784668, 26.853210, 45.219421
 1698185977, 912.869141, 26.797134, 45.237732
